all_gather
128	0.01	0.01	0.01	0.01
256	0.02	0.01	0.01	0.01
512	0.04	0.03	0.03	0.03
1024	0.08	0.05	0.05	0.05
2048	0.15	0.11	0.10	0.10
4096	0.20	0.21	0.21	0.20
8192	0.39	0.41	0.40	0.39
16384	0.81	0.84	0.82	0.79
32768	1.56	1.55	1.50	1.45
65536	2.55	2.44	2.42	2.30
131072	3.67	3.34	3.41	3.34
262144	4.68	4.12	4.20	4.22
524288	7.61	6.23	6.30	6.26
1048576	23.37	15.83	15.67	12.01
2097152	27.53	24.28	22.42	20.19
4194304	29.54	30.69	31.34	31.69
8388608	43.93	37.21	44.27	46.84
16777216	40.58	34.04	52.87	63.87
33554432	44.52	35.21	64.90	79.56
67108864	43.75	34.99	69.54	96.18
134217728	45.62	35.58	79.24	102.36
268435456	45.38	35.45	83	112
536870912	45.31	35.40	85.14	116.98
1073741824	45.41	35.39	86.69	120.44

gather
